"Date ","Symbol ","Security Name ","Quantity "
"16-Jan-2024","BANKINDIA","BANK OF INDIA","1,000"
"23-Jan-2024","IDFCFIRSTB","IDFC FIRST BANK LIMI","9,97,500"
"23-Jan-2024","ATUL","ATUL LTD","12,000"
"23-Jan-2024","HDFCAMC","HDFC AMC LIMITED","6,300"
"23-Jan-2024","HDFCAMC","HDFC AMC LIMITED","29,400"
"23-Jan-2024","IRCTC","INDIAN RAIL TOUR CORP LTD","2,625"
"23-Jan-2024","CHOLAFIN","CHOLAMANDALAM IN & FIN CO","16,250"
"23-Jan-2024","M&MFIN","MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED","74,000"
"23-Jan-2024","SBICARD","SBI CARDS & PAY SER LTD","88,000"
"23-Jan-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","2,17,800"
"23-Jan-2024","TATACHEM","TATA CHEMICALS LTD","1,01,200"
"24-Jan-2024","CHOLAFIN","CHOLAMANDALAM IN & FIN CO","28,125"
"24-Jan-2024","GODREJPROP","GODREJ PROPERTIES LTD","21,850"
"24-Jan-2024","HDFCAMC","HDFC AMC LIMITED","14,100"
"24-Jan-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","58,080"
"24-Jan-2024","TATACHEM","TATA CHEMICALS LTD","25,300"
"24-Jan-2024","BHARTIARTL","BHARTI AIRTEL LIMITED","49,400"
"25-Jan-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","10,560"
"25-Jan-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","6,600"
"25-Jan-2024","IPCALAB","IPCA LABORATORIES LIMITED","4,55,500"
"29-Jan-2024","METROPOLIS","METROPOLIS HEALTHCARE LIMITED","6,000"
"29-Jan-2024","IDFCFIRSTB","IDFC FIRST BANK LIMI","2,100"
"30-Jan-2024","IDFCFIRSTB","IDFC FIRST BANK LIMI","5,70,000"
"31-Jan-2024","ZOMATO","ZOMATO LIMITED","10,000"
"31-Jan-2024","SAIL","STEEL AUTHORITY OF INDIA","2,300"
"31-Jan-2024","SAIL","STEEL AUTHORITY OF INDIA","6,350"
"01-Feb-2024","METROPOLIS","METROPOLIS HEALTHCARE LIMITED","4,800"
"02-Feb-2024","IBULHSGFIN","INDIABULLS HOUSING FINANCE LIMITED","1,00,000"
"08-Feb-2024","UPL","UPL LIMITED","7,500"
"08-Feb-2024","IDFCFIRSTB","IDFC FIRST BANK LIMI","97,500"
"12-Feb-2024","BALRAMCHIN","BALRAMPUR CHINI MILLS LTD","8,000"
"21-Feb-2024","SBICARD","SBI CARDS & PAY SER LTD","800"
"22-Feb-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","35,448"
"22-Feb-2024","SBICARD","SBI CARDS & PAY SER LTD","6,590"
"22-Feb-2024","RBLBANK","RBL BANK LIMITED    ","17,500"
"22-Feb-2024","BIOCON","BIOCON LIMITED.","7,500"
"22-Feb-2024","GMRINFRA","GMR INFRASTRUCTURE LTD.","22,500"
"23-Feb-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","10,560"
"02-Mar-2024","SOUTHBANK","THE SOUTH INDIAN BANK LTD","2,10,987"
"26-Feb-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","1,320"
"27-Feb-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","13,200"
"28-Feb-2024","SOUTHBANK","THE SOUTH INDIAN BANK LTD","3,50,000"
"29-Feb-2024","SOUTHBANK","THE SOUTH INDIAN BANK LTD","5,18,050"
"29-Feb-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","73,920"
"13-Mar-2024","BHARATFORG","BHARAT FORGE LTD","42,000"
"14-Mar-2024","SOUTHBANK","THE SOUTH INDIAN BANK LTD","2,99,934"
"14-Mar-2024","M&MFIN","MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED","10,000"
"15-Mar-2024","HDFCAMC","HDFC AMC LIMITED","6,300"
"15-Mar-2024","TATACHEM","TATA CHEMICALS LTD","2,700"
"15-Mar-2024","RBLBANK","RBL BANK LIMITED    ","13,200"
"15-Mar-2024","ZEEL","ZEE ENTERTAINMENT ENT LTD","12,000"
"20-Mar-2024","PEL","PIRAMAL ENTERPRISES LTD","2,170"
"20-Mar-2024","BAJAJ-AUTO","BAJAJ AUTO LIMITED","17,000"
"26-Mar-2024","HDFCAMC","HDFC AMC LIMITED","12,825"
"01-Apr-2024","HINDCOPPER","HINDUSTAN COPPER LIMITED","21,200"
"01-Apr-2024","IGL","INDRAPRASTHA GAS LTD","1,375"
"15-Apr-2024","IDEA","IDEA CELLULAR LIMITED","24,00,000"
"16-Apr-2024","TATACHEM","TATA CHEMICALS LTD","13,700"
"25-Apr-2024","TATACHEM","TATA CHEMICALS LTD","356"
"06-May-2024","JUBLFOOD","JUBILANT FOODWORKS LTD","70,000"
"07-May-2024","LUPIN","LUPIN LIMITED","14,875"
"07-May-2024","UJJIVANSFB","UJJIVAN SMALL FINANC BANK","44,487"
"17-Jan-2024","M&MFIN","MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED","64,000"
"16-Jan-2024","M&MFIN","MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED","28,000"
"19-Jan-2024","BERGEPAINT","BERGER PAINTS (I) LIMITED","6,600"
"17-Jan-2024","SBICARD","SBI CARDS & PAY SER LTD","11,200"
"17-Jan-2024","MRF","MRF LTD","155"
"19-Jan-2024","IPCALAB","IPCA LABORATORIES LIMITED","4,55,500"
"18-Jan-2024","SBICARD","SBI CARDS & PAY SER LTD","25,600"
"18-Jan-2024","M&MFIN","MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED","54,000"
"18-Jan-2024","HDFCAMC","HDFC AMC LIMITED","20,100"
"20-Jan-2024","NAVINFLUOR","NAVIN FLUORINE INT. LTD","3,000"
"20-Jan-2024","M&MFIN","MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED","6,000"
"12-Apr-2024","AUBANK","AU SMALL FINANCE BANK LIMITED","29,000"
"26-Apr-2024","LTTS","L&T TECHNOLOGY SER. LTD","21,500"
"12-Apr-2024","IDEA","IDEA CELLULAR LIMITED","24,00,000"
"12-Apr-2024","AUBANK","AU SMALL FINANCE BANK LIMITED","11,000"
"27-May-2024","AUBANK","AU SMALL FINANCE BANK LIMITED","1,27,000"
"27-May-2024","BOSCHLTD","BOSCH LIMITED","75"
"27-May-2024","JUBLFOOD","JUBILANT FOODWORKS LTD","35,000"
"27-May-2024","IGL","INDRAPRASTHA GAS LTD","1,375"
"27-May-2024","ASTRAL","ASTRAL POLY TECHNIK LIMITED","40,737"
"28-May-2024","COROMANDEL","COROMANDEL INTERNTL. LTD ","31,500"
"28-May-2024","AUBANK","AU SMALL FINANCE BANK LIMITED","27,000"
"28-May-2024","ASTRAL","ASTRAL POLY TECHNIK LIMITED","32,296"
"28-May-2024","IGL","INDRAPRASTHA GAS LTD","24,750"
"28-May-2024","JUBLFOOD","JUBILANT FOODWORKS LTD","10,000"
"29-May-2024","JUBLFOOD","JUBILANT FOODWORKS LTD","45,000"
"29-May-2024","DIVISLAB","DIVI'S LABORATORIES LTD","19,000"
"29-May-2024","COROMANDEL","COROMANDEL INTERNTL. LTD ","2,800"
"30-May-2024","AUBANK","AU SMALL FINANCE BANK LIMITED","1,23,000"
"30-May-2024","SBICARD","SBI CARDS & PAY SER LTD","1,63,200"
"30-May-2024","IGL","INDRAPRASTHA GAS LTD","2,750"
"30-May-2024","JUBLFOOD","JUBILANT FOODWORKS LTD","3,750"
"31-May-2024","BOSCHLTD","BOSCH LIMITED","3,750"
"31-May-2024","AUBANK","AU SMALL FINANCE BANK LIMITED","1,01,000"
"31-May-2024","COROMANDEL","COROMANDEL INTERNTL. LTD ","23,800"
"03-Jun-2024","COROMANDEL","COROMANDEL INTERNTL. LTD ","7,000"
"04-Jun-2024","NAVINFLUOR","NAVIN FLUORINE INT. LTD","600"
"04-Jun-2024","M&MFIN","MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED","2,000"
"05-Jun-2024","ASTERDM","ASTER DM HEALTHCARE LTD","150"
"05-Jun-2024","SCHAEFFLER","SCHAEFFLER INDIA LIMITED","8"
"05-Jun-2024","CGPOWER","CG POWER AND INDUSTRIAL SOLUTIONS LIMITED","49"
"05-Jun-2024","IRCON","IRCON","624"
"05-Jun-2024","AUBANK","AU SMALL FINANCE BANK LIMITED","19,954"
"05-Jun-2024","MARICO","MARICO LIMITED","3,31,200"
"07-Jun-2024","INFY","INFOSYS TECHNOLOGIES LTD","16,000"
"07-Jun-2024","CUMMINSIND","CUMMINS INDIA LTD","1,200"
"07-Jun-2024","MARUTI","MARUTI SUZUKI INDIA LTD.","26,850"
"10-Jun-2024","WIPRO","WIPRO LTD","3,45,000"
"10-Jun-2024","MARUTI","MARUTI SUZUKI INDIA LTD.","7,450"
"11-Jun-2024","WIPRO","WIPRO LTD","2,08,500"
"11-Jun-2024","SBICARD","SBI CARDS & PAY SER LTD","5,000"
"11-Jun-2024","COROMANDEL","COROMANDEL INTERNTL. LTD ","18,200"
"12-Jun-2024","WIPRO","WIPRO LTD","4,57,500"
"13-Jun-2024","GUJGASLTD","GUJARAT GAS LIMITED","15,000"
"13-Jun-2024","BHARTIARTL","BHARTI AIRTEL LIMITED","48,925"
"13-Jun-2024","IPCALAB","IPCA LABORATORIES LIMITED","38,350"
"19-Jun-2024","GUJGASLTD","GUJARAT GAS LIMITED","20,000"
"19-Jun-2024","WIPRO","WIPRO LTD","2,08,500"
"19-Jun-2024","COROMANDEL","COROMANDEL INTERNTL. LTD ","9,800"
"20-Jun-2024","PAGEIND","PAGE INDUSTRIES LTD","465"
"20-Jun-2024","FACT","FACT LTD","3,026"
"20-Jun-2024","NFL","NATIONAL FERT. LTD","900"
"21-Jun-2024","ADANIPORTS","ADANI PORT & SEZ LTD","1,02,800"
"21-Jun-2024","ICICIBANK","ICICI BANK LTD.","1,98,100"
"21-Jun-2024","JUBLFOOD","JUBILANT FOODWORKS LTD","51,250"
"21-Jun-2024","PAGEIND","PAGE INDUSTRIES LTD","15"
"21-Jun-2024","COFORGE","COFORGE LIMITED","3,150"
"24-Jun-2024","PAGEIND","PAGE INDUSTRIES LTD","1,860"
"24-Jun-2024","COFORGE","COFORGE LIMITED","150"
"25-Jun-2024","DRREDDY","DR. REDDY'S LABORATORIES","21,500"
"25-Jun-2024","ICICIBANK","ICICI BANK LTD.","72,100"
"26-Jun-2024","DRREDDY","DR. REDDY'S LABORATORIES","20,125"
"26-Jun-2024","ASIANPAINT","ASIAN PAINTS LIMITED","51,200"
"26-Jun-2024","MOTHERSON","SAMVRDHNA MTHRSN INT","4,89,900"
"26-Jun-2024","GRASIM","GRASIM INDUSTRIES LTD","735"
"27-Jun-2024","CUMMINSIND","CUMMINS INDIA LTD","36,900"
"27-Jun-2024","DRREDDY","DR. REDDY'S LABORATORIES","28,000"
"27-Jun-2024","RAMCOCEM","THE RAMCO CEMENTS LIMITED","1,07,100"
"27-Jun-2024","EICHERMOT","EICHER MOTORS LIMITED","40,250"
"27-Jun-2024","MOTHERSON","SAMVRDHNA MTHRSN INT","1,27,800"
"27-Jun-2024","GRASIM","GRASIM INDUSTRIES LTD","3,44,015"
"27-Jun-2024","BOSCHLTD","BOSCH LIMITED","16"
"28-Jun-2024","CDSL","CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED","100"
"28-Jun-2024","ASIANPAINT","ASIAN PAINTS LIMITED","4,400"
"28-Jun-2024","ULTRACEMCO","ULTRATECH CEMENT LIMITED","10,000"
"28-Jun-2024","MOTHERSON","SAMVRDHNA MTHRSN INT","3,05,300"
"28-Jun-2024","INFY","INFOSYS TECHNOLOGIES LTD","68,000"
"02-Jul-2024","MGL","MAHANAGAR GAS LTD.    ","7,600"
"02-Jul-2024","INFY","INFOSYS TECHNOLOGIES LTD","2,00,800"
"03-Jul-2024","COFORGE","COFORGE LIMITED","1,200"
"03-Jul-2024","HDFCBANK","HDFC BANK LTD","87,450"
"04-Jul-2024","COCHINSHIP","COCHIN SHIPYARD LIMITED","26"
"04-Jul-2024","MAZDOCK","MAZAGON DOCK SHIPBUIL LTD","1"
"04-Jul-2024","MOTHERSON","SAMVRDHNA MTHRSN INT","6,74,500"
"04-Jul-2024","ASIANPAINT","ASIAN PAINTS LIMITED","44,600"
"04-Jul-2024","BOSCHLTD","BOSCH LIMITED","437"
"04-Jul-2024","COFORGE","COFORGE LIMITED","6,000"
"05-Jul-2024","UBL","UNITED BREWERIES LIMITED","19,200"
"05-Jul-2024","INFY","INFOSYS TECHNOLOGIES LTD","36,000"
"05-Jul-2024","ICICIBANK","ICICI BANK LTD.","98,700"
"05-Jul-2024","GUJGASLTD","GUJARAT GAS LIMITED","1,250"
"05-Jul-2024","ASIANPAINT","ASIAN PAINTS LIMITED","20,200"
"08-Jul-2024","INFY","INFOSYS TECHNOLOGIES LTD","23,600"
"08-Jul-2024","ICICIBANK","ICICI BANK LTD.","55,300"
"08-Jul-2024","SBICARD","SBI CARDS & PAY SER LTD","20,000"
"09-Jul-2024","ICICIBANK","ICICI BANK LTD.","4,83,700"
"09-Jul-2024","COROMANDEL","COROMANDEL INTERNTL. LTD ","4,200"
"10-Jul-2024","SBICARD","SBI CARDS & PAY SER LTD","84,000"
"10-Jul-2024","ABFRL","ADITYA BIRLA FASHION & RT","7,484"
"10-Jul-2024","COROMANDEL","COROMANDEL INTERNTL. LTD ","7,000"