"Date ","No of Trades ","Traded Quantity (Lakhs)"
"10-Jul-2024",944,13
"09-Jul-2024",834,25.8
"08-Jul-2024",906,9.1
"05-Jul-2024",905,15.27
"04-Jul-2024",402,18.32
"03-Jul-2024",309,4.44
"02-Jul-2024",644,5.07
"01-Jul-2024",1325,8.83
"28-Jun-2024",853,21.91
"27-Jun-2024",3054,51.19
"26-Jun-2024",1128,23.47
"25-Jun-2024",1514,23.43
"24-Jun-2024",1222,14.89
"21-Jun-2024",923,16.06
"20-Jun-2024",637,11.31
"19-Jun-2024",1126,27.81
"18-Jun-2024",1019,15.4
"14-Jun-2024",876,18
"13-Jun-2024",619,10.96
"12-Jun-2024",930,20.38
"11-Jun-2024",814,19.25
"10-Jun-2024",447,16.28
"07-Jun-2024",431,4.89
"06-Jun-2024",214,3.81
"05-Jun-2024",670,17.36
"04-Jun-2024",742,8.11
"03-Jun-2024",234,6.6
"31-May-2024",1421,19.92
"30-May-2024",2235,44.73
"29-May-2024",2160,41.57
"28-May-2024",2830,41.76
"27-May-2024",1401,20.15
"24-May-2024",1086,17.94
"23-May-2024",1295,16.65
"22-May-2024",1046,14.86
"21-May-2024",585,8.09
"17-May-2024",439,4.98
"16-May-2024",794,8.39
"15-May-2024",1185,11.58
"14-May-2024",1280,15.39
"13-May-2024",460,9.07
"10-May-2024",643,9.61
"09-May-2024",1397,14.76
"08-May-2024",785,8.21
"07-May-2024",973,10.44
"06-May-2024",920,11.2
"03-May-2024",867,7.73
"02-May-2024",535,9.4
"30-Apr-2024",566,6.95
"29-Apr-2024",828,6.29
"26-Apr-2024",2249,28.69
"25-Apr-2024",1379,20.09
"24-Apr-2024",2420,31.21
"23-Apr-2024",3578,200.2
"22-Apr-2024",2959,183.55
"19-Apr-2024",2229,183.49
"18-Apr-2024",2038,93.25
"16-Apr-2024",1831,55.61
"12-Apr-2024",2267,374.26
"10-Apr-2024",940,52.05
"09-Apr-2024",859,92.48
"08-Apr-2024",895,168.45
"05-Apr-2024",517,7.08
"04-Apr-2024",433,11.03
"03-Apr-2024",286,7.63
"02-Apr-2024",748,40.41
"01-Apr-2024",1095,31.26
"28-Mar-2024",1880,48.2
"27-Mar-2024",3151,43.26
"26-Mar-2024",777,21.8
"23-Mar-2024",13,0
"22-Mar-2024",1344,28.42
"21-Mar-2024",729,26.56
"20-Mar-2024",2193,57.39
"19-Mar-2024",865,20.84
"18-Mar-2024",424,8.53
"15-Mar-2024",1604,15.02
"14-Mar-2024",4355,25.58
"13-Mar-2024",639,14.54
"12-Mar-2024",431,16.7
"11-Mar-2024",580,18.16
"07-Mar-2024",1402,40.75
"06-Mar-2024",297,6.21
"05-Mar-2024",287,17.46
"04-Mar-2024",850,14.52
"01-Mar-2024",445,8.77
"29-Feb-2024",2328,65.83
"28-Feb-2024",2073,35.49
"27-Feb-2024",907,25.85
"26-Feb-2024",1510,45.59
"23-Feb-2024",1451,32.09
"22-Feb-2024",1095,51.34
"21-Feb-2024",709,22.26
"20-Feb-2024",299,11.39
"19-Feb-2024",398,21.31
"16-Feb-2024",684,23.46
"15-Feb-2024",399,8.14
"14-Feb-2024",689,21.21
"13-Feb-2024",1048,16.73
"12-Feb-2024",685,17.35
"09-Feb-2024",429,9.43
"08-Feb-2024",405,24.12
"07-Feb-2024",656,21.11
"06-Feb-2024",359,19.91
"05-Feb-2024",930,18.94
"02-Feb-2024",598,7.14
"01-Feb-2024",809,18.94
"31-Jan-2024",1169,38.09
"30-Jan-2024",825,85.14
"29-Jan-2024",1989,35.41
"25-Jan-2024",2788,50.01
"24-Jan-2024",1958,37.31
"23-Jan-2024",202999,80.46
"20-Jan-2024",340,7.99
"19-Jan-2024",682,20.96
"18-Jan-2024",736,50.16
"17-Jan-2024",572,11.87
"16-Jan-2024",635,12.73
"15-Jan-2024",418,8.17
"12-Jan-2024",348,10.75
"11-Jan-2024",441,7.96
"10-Jan-2024",465,6.24
"09-Jan-2024",672,17.56
"08-Jan-2024",665,12.68
"05-Jan-2024",310,13.17
"04-Jan-2024",232,2.94
"03-Jan-2024",306,8.15
"02-Jan-2024",253,6.96
"01-Jan-2024",362,12.52
"29-Dec-2023",489,18.91
"28-Dec-2023",2228,45.58
"27-Dec-2023",5016,20.95
"26-Dec-2023",642,25.84
"22-Dec-2023",751,17.83
"21-Dec-2023",479,17.06
"20-Dec-2023",624,28.08
"19-Dec-2023",472,23.51
"18-Dec-2023",579,6.94
"15-Dec-2023",442,16.66
"14-Dec-2023",374,40
"13-Dec-2023",485,15.71
"12-Dec-2023",434,5.71
"11-Dec-2023",695,16.74
"08-Dec-2023",443,4.39
"07-Dec-2023",285,22.77
"06-Dec-2023",484,40.72
"05-Dec-2023",330,12.14
"04-Dec-2023",368,9.99
"01-Dec-2023",546,42.39
"30-Nov-2023",1626,95.05
"29-Nov-2023",591,17.55
"28-Nov-2023",1103,33.18
"25-Nov-2023",71,0.06
"24-Nov-2023",1933,39.24
"23-Nov-2023",793,19.28
"22-Nov-2023",736,24.34
"21-Nov-2023",880,18.82
"20-Nov-2023",746,12.84
"17-Nov-2023",759,72.75
"16-Nov-2023",487,16.83
"15-Nov-2023",426,25.1
"13-Nov-2023",435,6.45
"12-Nov-2023",284,10.02
"10-Nov-2023",924,11.73
"09-Nov-2023",916,23.71
"08-Nov-2023",669,6.53
"07-Nov-2023",736,8.22
"06-Nov-2023",391,3.78
"03-Nov-2023",241,4.17
"02-Nov-2023",234,10.04
"01-Nov-2023",262,3.7
"31-Oct-2023",389,6.29
"30-Oct-2023",952,20.06
"27-Oct-2023",298,39.87
"26-Oct-2023",764,21.74
"25-Oct-2023",1473,21.95
"23-Oct-2023",2067,83.91
"20-Oct-2023",2179,49.03
"19-Oct-2023",1398,20.81
"18-Oct-2023",1378,41.95
"17-Oct-2023",627,23.99
"16-Oct-2023",747,19.67
"13-Oct-2023",487,10.86
"12-Oct-2023",435,5.29
"11-Oct-2023",488,20.45
"10-Oct-2023",600,61.82
"09-Oct-2023",297,10.66
"06-Oct-2023",369,14.94
"05-Oct-2023",427,18.61
"04-Oct-2023",569,39.08
"03-Oct-2023",207,9.68
"29-Sep-2023",353,4.93
"28-Sep-2023",2845,87.91
"27-Sep-2023",2275,87.74
"26-Sep-2023",2985,140.48
"25-Sep-2023",1483,89.87
"22-Sep-2023",1294,22.29
"21-Sep-2023",701,25.89
"20-Sep-2023",340,12.07
"18-Sep-2023",380,11.61
"15-Sep-2023",495,25.31
"14-Sep-2023",269,9.75
"13-Sep-2023",241,5.88
"12-Sep-2023",613,41.47
"11-Sep-2023",294,13.78
"09-Sep-2023",8,0
"08-Sep-2023",259,13.39
"07-Sep-2023",469,8.81
"06-Sep-2023",483,9.95
"05-Sep-2023",653,39.48
"04-Sep-2023",1146,50.75
"01-Sep-2023",917,78.92
"31-Aug-2023",4599,186.48
"30-Aug-2023",1128,71.57
"29-Aug-2023",1100,43.71
"28-Aug-2023",1981,62.7
"25-Aug-2023",1184,89.74
"24-Aug-2023",1271,62.65
"23-Aug-2023",1014,80.63
"22-Aug-2023",1115,80.02
"21-Aug-2023",677,28.61
"18-Aug-2023",1378,40.98
"17-Aug-2023",1009,34.39
"16-Aug-2023",806,44.2
"14-Aug-2023",756,38.98
"11-Aug-2023",1003,73.52
"10-Aug-2023",664,26.69
"09-Aug-2023",1401,58.05
"08-Aug-2023",579,24.2
"07-Aug-2023",595,26.78
"04-Aug-2023",1313,45.47
"03-Aug-2023",2952,50.05
"02-Aug-2023",1225,39.41
"01-Aug-2023",310,25.75
"31-Jul-2023",354,24.31
"28-Jul-2023",444,7.84
"27-Jul-2023",1455,44.74
"26-Jul-2023",1018,14.89
"25-Jul-2023",2023,39.83
"24-Jul-2023",3848,80.85
"21-Jul-2023",936,26.02
"20-Jul-2023",1265,31.87
"19-Jul-2023",844,60.92
"18-Jul-2023",763,15.9
"17-Jul-2023",351,11.69
"14-Jul-2023",311,9.17
"13-Jul-2023",560,10.17
"12-Jul-2023",1271,17.66
"11-Jul-2023",1129,19.46